1.000000000000000000000000000	1
0.4298146460022960571622722635	2
0.06811190508230272627175640138	3
0.005247409234043794149271101160	4
0.0002198757387913585650620907595	5
0.000005632686267380426600903039808	6
9.686282132119370359619881741E-8	7
1.196891089888858015450175102E-9	8
1.116398554722341722110388928E-11	9
8.137307366382009382775740799E-14	10
3.257753902233269569823878090E-16	11
2.418320232731398194930108310E-16	12
2.010528115295469062266559539E-16	13
1.327506668046394439941599032E-16	14
1.205585344955277427074262832E-16	15
3.681568851062277428977308663E-17	16
1.158282448959127503286057237E-17	17
1.443175520363643359701932678E-16	18
8.864825720234954366160470266E-17	19
6.609045697109441900637947764E-17	20
